review_id,rating,text,language,date,park
1,3.0,"Great campsite for metro trip into Amsterdam, otherwise you are stranded if you don't have transport. Nowhere to go for food, drink(unless summer holiday season), would not walk to and from metro station when dark as you have to walk through a very dodgy carpark.
Facilities were good and mostly very clean, but odd days had obviously been left uncleaned.
Good for laundry washing.",en,2025-09-24,Gaasperpark
2,5.0,Great festival..4th year for me...Great food bit pricey but to be expected...toilets are plentiful not to bad at start..but as time passes gets a bit grubby but that's festival life...Will continue to be my go to festival...very friendly crowd..people mistake us for Dutch locals (Jamaican)...no trouble lots of sound systems...very limited police presence...more towards the end to guide the crowd to the train station which takes you to the park...beautiful lake lots of places to chill..love it..hope this helps,en,2025-09-10,Gaasperpark
3,4.0,I would have given a five if the receptionist would have known what she was doing. I was told all places was booked when I wanted to move to a different pitch. I had booked in advance but others coming after me without booking got a spot where I had requested. Facilities are nice and very clean there’s a small store on premises and it’s a very easy metro ride into the city,en,2025-07-23,Gaasperpark
4,4.0,"Gaasperpark is a clean and well-run spot, but it’s crowded, not cheap, and a bit out of the way. Be ready to pay extra for things like showers. If cleanliness and organization matter most to you, you’ll probably be happy her",en,2025-07-13,Gaasperpark
5,5.0,"Went for the reggae festival, the park is massive and the lake is awesome. Should of went back and saw it when it was empty.",en,2025-09-03,Gaasperpark
6,5.0,Lovely park but. Not dog friendly from April to October. However a small walk around its border brings to a perfect place to exercise your dog,en,2025-06-23,Gaasperpark
7,3.0,"The park is great, the green area is huge, and there is a huge variety of birds, for those who are interested.
Said this, the place is busy, lots of bbqs and people meeting around, which leads to dirt around.  Old water playground, not working anymore, dirty beach and even dirtier pond...",en,2025-06-30,Gaasperpark
8,5.0,"Very nice campsite, clean and well maintained, very convenient as it is close to the metro that takes you to the center of Amsterdam. Highly recommended.",en,2025-08-11,Gaasperpark
9,5.0,Reggae Lake Festival was amazing. Set in this beautiful park by a lake,en,2025-08-22,Gaasperpark
10,5.0,Staying at a nice hotel. The rooms are nice and roomy. The attached restaurant has a good breakfast and dinner. Last night tried the Irish beefsteak and partner the Satay chicken. Both were excellently prepared and presented.  Tast was great and enjoyable.,en,2024-04-23,Gaasperpark
11,5.0,"Gaasperpark is a former Floriade-event which was organized there in 1982. It’s a nice, green city park in the outskirts of Amsterdam. It has nice paths to stroll around by foot or by bike. There are areas in the park with different topics and playgrounds. Water is a big theme in this park. You can play with the water or in the water. The park also has facilities like toilets and food-selling booths. During Spring, Summer and early Autumn, it’s great to settle down to have a picnic with family and friends. In the Winter - if there is snow - you may use your sledge to run down the slope. It’s easy to get there by metro, by bus or by car. If you are adventurous enough, it’s possible to bike towards Gaasperpark.",en,2025-09-19,Gaasperpark
12,5.0,"Large campsite alongside the metro straight onto Amsterdam. Modern facilities online booking recommended to speed arrival. Very helpful staff, clean and well presented site.",en,2025-05-29,Gaasperpark
13,5.0,"I’ve only visited Gaasperpark for festivals, and it’s a stunning location. Spacious, green, and well maintained, with a beautiful lake and a very open, natural feel the perfect setting. The metro station right at the entrance makes it super easy to reach. One of the nicest festival spots I’ve been to.",en,2025-08-26,Gaasperpark
14,4.0,"Nice location, just outside the Amsterdam city, connected with scanty Metro Train and Bus Routes but good frequent service since morning till very late in the evening. A sprawling developed green area, adjoining a Restaurant cum Hotel Campanile. Good country side location for weekend getaway, family, walking, cycling, fishing, and recuperation. A reasonably good and cheap lorry mounted eatery just in between the park, metro station and bus stand offers some hot freshly prepared vegetarian and non-vegetarian stuff with soft drinks, ice-cream, coffee and tea.",en,2017-10-10,Gaasperpark
15,4.0,Went for the Reggae Lake Festival. Could do with better sign posting but the event was great!!,en,2025-09-04,Gaasperpark
16,5.0,"If you're looking for the perfect beach and less than people so that's the perfect spot.

Lovely place to be. I really enjoyed my time there on this beach and met amazing people.",en,2023-08-17,Gaasperpark
17,5.0,My perfect hideaway place....all year round.,en,2025-03-10,Gaasperpark
18,1.0,"Easily dyed in this park if you don't bring water with you, there are no taps and no shops..good luck!",en,2025-07-12,Gaasperpark
19,5.0,"Great park to sit alone and be in peace. Very quiet,  reflective.",en,2025-03-20,Gaasperpark
20,5.0,"It was the Reggae lake festival, I loved it the park was amazing, the organising was amazing and had so much fun. The park itself was amazing, chill and cosy. I would definitely go there again.",en,2023-08-21,Gaasperpark
21,5.0,Amazing place just close to my house.,en,2024-08-15,Gaasperpark
22,5.0,"great park, some fun playgrounds on one side and pretty spots and lakes on another. public restrooms were clean, 10/10",en,2024-04-16,Gaasperpark
23,5.0,"This is one of the last places in Amsterdam where you can truly get lost in the old Floriade parts and enjoy the nature that someone shaped like this.
It definitely looks like some 30 years ago something exciting happened here but somebody comes every year and kind of brings it back into shape.
I lived there for 14 years and its an oasis of calm right next to a metro stop.
And if you’re looking for something a little more exciting there’s always a spot to have a spontaneous birthday party or a barbecue or both.",en,2022-05-07,Gaasperpark
24,5.0,Beautiful and peaceful park. Ideal place for a run or just sit down to read and admire the view.,en,2022-01-06,Gaasperpark
25,5.0,"Lovely park, the lake is nice to swim if you dont mind a bit of algae!",en,2025-08-28,Gaasperpark
26,5.0,"Beautiful green, water, bird's sounds a full nature ecosystem just outside Amsterdam (Diemen). Did you know the Floriade Expo 1982 (Garden Festival every 10 years in Holland) was hold here🌷? . In Some areas could be really crowded but if you just go around you will find plenty of peaceful mindfulness areas as the one in the pictures 😃🌿🌱💦",en,2022-04-21,Gaasperpark
27,5.0,"Such a lovely spot to relax in the shade of the trees in a warm day, go for a swim in the fresh water and enjoy the sun",en,2020-08-09,Gaasperpark
28,5.0,Excellent clean facilities and grounds. Pay extra to shower. Close to metro station to get 20 mins into the city. Very expensive but worth it particularly for the location.,en,2025-04-28,Gaasperpark
29,5.0,Nice park on the Gaasperplas. Very nice place to go during summer and BBQ. Lots of space and places to chill and relax. Nice childrens playground and kiddie bath to take the kids as well.,en,2018-03-07,Gaasperpark
30,5.0,Haven't been here in over 20 years.  I forgot how beautiful this park is. I will most definitely be making my way out here again in the near future.,en,2023-07-31,Gaasperpark
31,4.0,Very wide and big RV parking near train station to Amsterdam city center. 15 min away. Start and End of route M53 both ways.,en,2025-04-10,Gaasperpark
32,5.0,"Wonderful and well maintained Park with a sea in the south of Amsterdam. Vera tidy, very Clean and ideal for a Summer Eve at the water!",en,2022-07-09,Gaasperpark
33,4.0,"Overall it's a nice park, but some trees look creepy.",en,2025-01-11,Gaasperpark
34,5.0,"Best place for relaxing , recharging , swimming,  diving , walking , running etc.",en,2023-07-08,Gaasperpark
35,5.0,"Beautiful & quiet park. Great for picnic, jogging, cycling, kayaking, sailing & horse riding.",en,2021-08-27,Gaasperpark
36,4.0,A wonderful place for relaxation. I went to meet some soloku band playing some good jazz,en,2021-05-09,Gaasperpark
37,5.0,"Peaceful, amazing place to be",en,2025-04-01,Gaasperpark
38,5.0,wonderful area to cycle through and enjoy calm moments by the lake! there are many inviting trails to explore! exactly what people imagine dutch parks to look like!,en,2022-02-03,Gaasperpark
39,5.0,A nice quiet park with a lake near the hotel I'm staying at and easily accessible by metro 53.,en,2019-12-02,Gaasperpark
40,5.0,"Beautiful, my favorite park. Spent weeks there and there's still so much to explore and see.",en,2017-06-22,Gaasperpark
41,4.0,Nice park and lake. More information via sign posts should be available for visitors.,en,2019-07-07,Gaasperpark
42,5.0,I was here March and can only imagine how pretty the park is near summer when everything is even greener!,en,2022-03-08,Gaasperpark
43,5.0,"Beautiful park, many nice places to sit and enjoy the lake. Almost never crowded too.",en,2023-08-04,Gaasperpark
44,5.0,The lake is big and the park is super nice to walk around. It's my favorite park in Amsterdam.,en,2017-07-02,Gaasperpark
45,5.0,Beautiful place for rest and for relax.... i love it.,en,2018-02-18,Gaasperpark
46,5.0,"Great,beautiful and peaceful park.❤️",en,2023-10-01,Gaasperpark
47,5.0,It’s a nice park with full of nature.,en,2025-07-12,Gaasperpark
48,4.0,Nice and beautiful park to visit when in Amsterdam,en,2022-07-26,Gaasperpark
49,5.0,"I never knew people could live in such a wonderful place. So peaceful and in such a deep connection with nature.
Yet 2 min from the metro and 20 min from the Grand Central Station.",en,2019-06-30,Gaasperpark
50,5.0,Much more interesting than I thought it would be,en,2025-10-14,Gaasperpark
51,4.0,Nice piece of nature with some remains of a long-lost park. Too bad the sound of overflying airplanes is ever present.,en,2017-01-22,Gaasperpark
52,5.0,Lovely place where you can swim and see the sunset.,en,2022-11-12,Gaasperpark
53,4.0,Huge park . Went for a festival then decided to go on a regular day . Huge and vibey,en,2025-08-17,Gaasperpark
54,5.0,"Truly, truffle & true love.",en,2024-07-17,Gaasperpark
55,4.0,Nice place for the sunny day. More garbage containers would be great.,en,2018-07-01,Gaasperpark
56,5.0,"Beautiful and Quiet park!

Very calm and soothing for the soul!",en,2021-11-12,Gaasperpark
57,5.0,"This park is stunning! Perfectly maintained, trees are nicely trimmed but not too much, it feels like sitting in a small paradise. Big variety of beautiful plants, very old trees, it's the perfect mix of nature and garden.
Met two rangers today and they were super friendly, I love spending time here.",en,2023-09-01,Gaasperpark
58,5.0,Amazing park. Great location just 20 minutes from centraal station!,en,2019-04-16,Gaasperpark
59,5.0,Reggae Lake Festival was amazing and in beautiful surroundings,en,2022-09-07,Gaasperpark
60,5.0,It is wonderful park to see the view.,en,2021-01-31,Gaasperpark
61,5.0,Beautiful place. If you wanna chill in the nature this is the rally nice place to do it.,en,2017-07-04,Gaasperpark
62,5.0,"Incredible park to spend a nice afternoon, go swimming, walk your pet and you will always discover new areas, a magical park",en,2024-12-09,Gaasperpark
63,2.0,Was OK and a good place to stop for the night. During shoulder seasons (not quite Spring) the service was very limited with no access to Toilets/Sanitary services. The owner was clear about this but it does makes things less convenient and this should be a minimum.,en,2023-03-14,Gaasperpark
64,5.0,The grounds were great. Simple camp sites. Multiple bathrooms. Walking distance to the train.,en,2017-07-17,Gaasperpark
65,4.0,"Big campsite but not bad considering with hot showers and clean facilities. We found it quiet, safe and comfortable. Good mix of nationalities. Really easy to get train into the centre, but we all cycled and it was quick even with kids.",en,2017-08-04,Gaasperpark
66,4.0,Beautiful place though I wish there were more places to bbq 😊,en,2021-05-15,Gaasperpark
67,5.0,"Getting very expensive with the food
On the reggae fest",en,2025-09-04,Gaasperpark
68,5.0,Very nice campsite very convenient for the metro or bus ( 5 mins walk to station) very friendly people who run site. Kept very clean has small bar/ restaurant  and a well stocked supermarket  would definitely recommend,en,2023-07-14,Gaasperpark
69,5.0,"A bit of everything.. walking, cycling, chilling at the beach :)",en,2023-08-07,Gaasperpark
70,5.0,"Clean toilets that play 80s music
Clean site, all pitches have hard standing & grass
Staff are friendly & happy
Booking online only even if you shoe up on spec - payment via a machine at the gate
Self check-on but a man greats you & takes you to a pitch
Food was good & reasonably priced",en,2023-07-17,Gaasperpark
71,5.0,Great Park. Great concert,en,2022-08-25,Gaasperpark
