GEBIED_NAAM,18_en_ouder,18_tot_65,65_en_ouder,area_name_normalized,district
Aalsmeerwegbuurt Oost,72.6,75.1,55.9,aalsmeerwegbuurt oost,Amsterdam Zuid
Aalsmeerwegbuurt West,74.3,76.6,51.8,aalsmeerwegbuurt west,Amsterdam Zuid
Amstelpark,71.1,,,amstelpark,Amsterdam Zuid
Andreasterrein,69.7,72.9,51.0,andreasterrein,Amsterdam Zuid
Banpleinbuurt,78.0,81.2,71.3,banpleinbuurt,Amsterdam Zuid
Bedrijventerrein Schinkel,74.9,75.0,73.5,bedrijventerrein schinkel,Amsterdam Zuid
Beethovenbuurt,77.5,81.1,65.0,beethovenbuurt,Amsterdam Zuid
Belgiëplein e.o.,62.8,69.9,49.2,belgiëplein e.o.,Amsterdam Zuid
Bertelmanpleinbuurt,59.2,64.1,44.6,bertelmanpleinbuurt,Amsterdam Zuid
Buitenveldert Midden Zuid,70.8,73.3,57.2,buitenveldert midden zuid,Amsterdam Zuid
Buitenveldert Oost Midden,62.5,66.7,53.1,buitenveldert oost midden,Amsterdam Zuid
Buitenveldert West Midden,70.2,75.8,60.3,buitenveldert west midden,Amsterdam Zuid
Buitenveldert Zuidoost,70.8,73.5,61.1,buitenveldert zuidoost,Amsterdam Zuid
Buitenveldert Zuidwest,67.5,74.4,53.9,buitenveldert zuidwest,Amsterdam Zuid
Burgemeester Tellegenbuurt Oost,61.3,65.3,44.5,burgemeester tellegenbuurt oost,Amsterdam Zuid
Burgemeester Tellegenbuurt West,60.1,64.7,45.4,burgemeester tellegenbuurt west,Amsterdam Zuid
Concertgebouwbuurt,77.7,79.6,69.9,concertgebouwbuurt,Amsterdam Zuid
Cornelis Schuytbuurt,78.7,80.7,70.6,cornelis schuytbuurt,Amsterdam Zuid
Cornelis Troostbuurt,70.9,74.1,50.0,cornelis troostbuurt,Amsterdam Zuid
Cremerbuurt Oost,75.0,76.8,56.3,cremerbuurt oost,Amsterdam Zuid
Cremerbuurt West,72.7,74.9,53.6,cremerbuurt west,Amsterdam Zuid
De Klenckebuurt,70.9,74.9,62.0,de klenckebuurt,Amsterdam Zuid
Delflandpleinbuurt Oost,66.1,67.7,46.6,delflandpleinbuurt oost,Amsterdam Zuid
Delflandpleinbuurt West,66.4,68.5,43.9,delflandpleinbuurt west,Amsterdam Zuid
Diamantbuurt,59.8,64.0,43.9,diamantbuurt,Amsterdam Zuid
Diepenbrockbuurt,80.4,83.4,70.8,diepenbrockbuurt,Amsterdam Zuid
Dorp Sloten,74.0,76.2,67.3,dorp sloten,Amsterdam Zuid
Duivelseiland,73.7,75.6,56.9,duivelseiland,Amsterdam Zuid
Emanuel van Meterenbuurt,64.9,67.5,54.7,emanuel van meterenbuurt,Amsterdam Zuid
Frans Halsbuurt,72.0,73.9,58.1,frans halsbuurt,Amsterdam Zuid
Gelderlandpleinbuurt,67.3,71.9,54.8,gelderlandpleinbuurt,Amsterdam Zuid
Gerard Doubuurt,68.2,70.8,51.3,gerard doubuurt,Amsterdam Zuid
Harmoniehofbuurt,67.6,73.8,62.5,harmoniehofbuurt,Amsterdam Zuid
Helmersbuurt Oost,76.7,78.4,63.3,helmersbuurt oost,Amsterdam Zuid
Hemonybuurt,74.0,75.6,60.3,hemonybuurt,Amsterdam Zuid
Hercules Seghersbuurt,68.0,70.6,49.5,hercules seghersbuurt,Amsterdam Zuid
Hiltonbuurt,82.2,84.2,72.9,hiltonbuurt,Amsterdam Zuid
Hondecoeterbuurt,75.9,79.1,65.0,hondecoeterbuurt,Amsterdam Zuid
IJsbaanpad e.o.,77.5,80.3,66.3,ijsbaanpad e.o.,Amsterdam Zuid
IJselbuurt Oost,69.3,72.7,50.9,ijselbuurt oost,Amsterdam Zuid
IJselbuurt West,66.5,70.1,49.6,ijselbuurt west,Amsterdam Zuid
Jacob Geelbuurt,55.4,57.8,39.0,jacob geelbuurt,Amsterdam Zuid
Jacques Veltmanbuurt,65.0,67.9,46.4,jacques veltmanbuurt,Amsterdam Zuid
Johan Jongkindbuurt,52.7,54.2,35.6,johan jongkindbuurt,Amsterdam Zuid
Koningin Wilhelminaplein,76.1,77.0,63.9,koningin wilhelminaplein,Amsterdam Zuid
Kop Zuidas,79.3,80.1,70.9,kop zuidas,Amsterdam Zuid
Kromme Mijdrechtbuurt,66.7,70.2,50.1,kromme mijdrechtbuurt,Amsterdam Zuid
Legmeerpleinbuurt,72.7,75.7,55.6,legmeerpleinbuurt,Amsterdam Zuid
Lizzy Ansinghbuurt,67.3,70.5,48.9,lizzy ansinghbuurt,Amsterdam Zuid
Lucas/Andreasziekenhuis e.o.,75.4,75.4,,lucas/andreasziekenhuis e.o.,Amsterdam Zuid
Marathonbuurt Oost,62.0,65.7,49.9,marathonbuurt oost,Amsterdam Zuid
Marathonbuurt West,58.3,61.9,45.0,marathonbuurt west,Amsterdam Zuid
Medisch Centrum Slotervaart,65.5,65.8,,medisch centrum slotervaart,Amsterdam Zuid
Minervabuurt Midden,78.3,81.0,69.6,minervabuurt midden,Amsterdam Zuid
Minervabuurt Noord,78.7,81.3,70.1,minervabuurt noord,Amsterdam Zuid
Minervabuurt Zuid,77.0,80.0,67.8,minervabuurt zuid,Amsterdam Zuid
Nieuw Sloten Noordoost,66.7,70.9,55.9,nieuw sloten noordoost,Amsterdam Zuid
Nieuw Sloten Noordwest,67.1,70.6,55.3,nieuw sloten noordwest,Amsterdam Zuid
Nieuw Sloten Zuidoost,68.8,70.6,58.3,nieuw sloten zuidoost,Amsterdam Zuid
Nieuw Sloten Zuidwest,75.9,77.3,69.3,nieuw sloten zuidwest,Amsterdam Zuid
Nieuwe Meer,67.0,68.0,59.3,nieuwe meer,Amsterdam Zuid
Olympisch Stadion e.o.,69.8,74.1,52.8,olympisch stadion e.o.,Amsterdam Zuid
Oostoever Sloterplas,69.4,75.9,54.3,oostoever sloterplas,Amsterdam Zuid
Overtoomse Veld Noord,59.1,63.0,30.3,overtoomse veld noord,Amsterdam Zuid
Overtoomse Veld Zuid,66.2,68.9,39.9,overtoomse veld zuid,Amsterdam Zuid
P.C. Hooftbuurt,75.6,77.5,67.7,p.c. hooftbuurt,Amsterdam Zuid
Park Haagseweg,77.5,79.5,72.0,park haagseweg,Amsterdam Zuid
Prinses Irenebuurt,77.5,81.4,68.3,prinses irenebuurt,Amsterdam Zuid
RAI,,,,rai,Amsterdam Zuid
Rembrandtpark Noord,73.8,75.1,57.0,rembrandtpark noord,Amsterdam Zuid
Rembrandtpark Zuid,76.0,77.9,59.1,rembrandtpark zuid,Amsterdam Zuid
Riekerhaven,66.4,66.4,,riekerhaven,Amsterdam Zuid
Riekerpolder,78.0,78.1,,riekerpolder,Amsterdam Zuid
Rijnbuurt Midden,72.3,75.9,52.5,rijnbuurt midden,Amsterdam Zuid
Rijnbuurt Oost,72.3,75.6,52.5,rijnbuurt oost,Amsterdam Zuid
Rijnbuurt West,55.3,58.5,46.3,rijnbuurt west,Amsterdam Zuid
Sarphatiparkbuurt,71.6,74.0,52.0,sarphatiparkbuurt,Amsterdam Zuid
Scheldebuurt Midden,75.2,79.1,56.9,scheldebuurt midden,Amsterdam Zuid
Scheldebuurt Oost,75.1,77.8,59.4,scheldebuurt oost,Amsterdam Zuid
Scheldebuurt West,73.3,77.0,56.6,scheldebuurt west,Amsterdam Zuid
Schinkelbuurt Noord,72.7,74.6,56.1,schinkelbuurt noord,Amsterdam Zuid
Schinkelbuurt Zuid,65.4,68.5,51.1,schinkelbuurt zuid,Amsterdam Zuid
Schipluidenbuurt,75.1,75.3,64.7,schipluidenbuurt,Amsterdam Zuid
Sloterweg e.o.,76.1,78.3,69.7,sloterweg e.o.,Amsterdam Zuid
Staalmanbuurt,59.0,62.0,40.1,staalmanbuurt,Amsterdam Zuid
Surinamepleinbuurt,74.5,77.3,59.2,surinamepleinbuurt,Amsterdam Zuid
VU-kwartier,74.8,75.0,,vu kwartier,Amsterdam Zuid
Valeriusbuurt Oost,78.8,80.6,71.2,valeriusbuurt oost,Amsterdam Zuid
Valeriusbuurt West,75.7,78.5,63.6,valeriusbuurt west,Amsterdam Zuid
Van Tuyllbuurt,72.7,76.0,53.8,van tuyllbuurt,Amsterdam Zuid
Van der Helstpleinbuurt,71.2,73.3,53.3,van der helstpleinbuurt,Amsterdam Zuid
Veluwebuurt,66.8,70.8,51.9,veluwebuurt,Amsterdam Zuid
Vivaldi,73.3,73.4,70.0,vivaldi,Amsterdam Zuid
Vondelparkbuurt Midden,72.0,74.9,60.4,vondelparkbuurt midden,Amsterdam Zuid
Vondelparkbuurt Oost,76.2,77.2,71.9,vondelparkbuurt oost,Amsterdam Zuid
Vondelparkbuurt West,74.6,77.7,59.1,vondelparkbuurt west,Amsterdam Zuid
Westlandgrachtbuurt,72.9,75.7,52.9,westlandgrachtbuurt,Amsterdam Zuid
Wielingenbuurt,76.0,79.0,62.8,wielingenbuurt,Amsterdam Zuid
Willemsparkbuurt Noord,77.7,79.7,67.3,willemsparkbuurt noord,Amsterdam Zuid
Willibrordusbuurt,66.1,70.6,47.2,willibrordusbuurt,Amsterdam Zuid
Zorgvlied,80.1,84.2,,zorgvlied,Amsterdam Zuid
Zuidas Noord,79.1,79.7,69.2,zuidas noord,Amsterdam Zuid
Zuidas Zuid,76.6,76.9,72.3,zuidas zuid,Amsterdam Zuid
Zuiderhof,76.0,76.0,,zuiderhof,Amsterdam Zuid
