GEBIED_NAAM,18_en_ouder,18_tot_65,65_en_ouder,area_name_normalized,district
AMC,48.6,49.8,,amc,Amsterdam Zuidoost
Amstel III deel A/B Noord,73.3,73.3,,amstel iii deel a/b noord,Amsterdam Zuidoost
Amstel III deel A/B Zuid,72.1,72.1,,amstel iii deel a/b zuid,Amsterdam Zuidoost
Amstel III deel C/D Noord,75.7,75.3,,amstel iii deel c/d noord,Amsterdam Zuidoost
Amstel III deel C/D Zuid,,,,amstel iii deel c/d zuid,Amsterdam Zuidoost
Amsterdamse Poort,51.5,55.2,32.9,amsterdamse poort,Amsterdam Zuidoost
Bijlmermuseum Noord,48.6,53.2,36.1,bijlmermuseum noord,Amsterdam Zuidoost
Bijlmermuseum Zuid,57.8,60.2,41.3,bijlmermuseum zuid,Amsterdam Zuidoost
D-buurt,65.1,65.8,38.2,d buurt,Amsterdam Zuidoost
E-buurt,67.8,68.6,47.5,e buurt,Amsterdam Zuidoost
F-buurt,63.6,64.9,48.5,f buurt,Amsterdam Zuidoost
G-buurt Noord,47.5,49.4,33.6,g buurt noord,Amsterdam Zuidoost
G-buurt Oost,66.4,70.7,58.6,g buurt oost,Amsterdam Zuidoost
G-buurt West,60.8,63.5,46.6,g buurt west,Amsterdam Zuidoost
Gaasperpark,68.5,70.8,,gaasperpark,Amsterdam Zuidoost
Gein Noordoost,73.0,74.6,69.1,gein noordoost,Amsterdam Zuidoost
Gein Noordwest,56.3,59.7,41.4,gein noordwest,Amsterdam Zuidoost
Gein Zuidoost,61.2,64.3,52.7,gein zuidoost,Amsterdam Zuidoost
Gein Zuidwest,56.0,58.2,42.1,gein zuidwest,Amsterdam Zuidoost
Gooise Kant,71.4,71.7,,gooise kant,Amsterdam Zuidoost
Grunder/Koningshoef,61.5,63.4,47.0,grunder/koningshoef,Amsterdam Zuidoost
Hakfort/Huigenbos,52.0,53.6,38.3,hakfort/huigenbos,Amsterdam Zuidoost
Hoge Dijk,71.2,71.7,,hoge dijk,Amsterdam Zuidoost
Holendrecht Oost,63.8,66.3,59.4,holendrecht oost,Amsterdam Zuidoost
Holendrecht West,46.0,50.4,34.8,holendrecht west,Amsterdam Zuidoost
Hoofdcentrum Zuidoost,75.6,75.6,,hoofdcentrum zuidoost,Amsterdam Zuidoost
Hoptille,60.3,61.6,38.2,hoptille,Amsterdam Zuidoost
Huntum,73.4,75.8,69.4,huntum,Amsterdam Zuidoost
K-buurt Midden,54.5,56.3,38.4,k buurt midden,Amsterdam Zuidoost
K-buurt Zuidoost,65.2,66.4,44.4,k buurt zuidoost,Amsterdam Zuidoost
K-buurt Zuidwest,60.8,63.5,41.8,k buurt zuidwest,Amsterdam Zuidoost
Kantershof,60.2,65.6,46.7,kantershof,Amsterdam Zuidoost
Kelbergen,56.2,58.4,47.9,kelbergen,Amsterdam Zuidoost
Kortvoort,51.9,56.7,37.1,kortvoort,Amsterdam Zuidoost
L-buurt,65.2,68.5,55.1,l buurt,Amsterdam Zuidoost
Noordoostkwadrant Indische buurt,57.7,62.6,38.8,noordoostkwadrant indische buurt,Amsterdam Zuidoost
Noordwestkwadrant Indische buurt Noord,67.8,70.4,43.2,noordwestkwadrant indische buurt noord,Amsterdam Zuidoost
Noordwestkwadrant Indische buurt Zuid,65.9,69.4,37.5,noordwestkwadrant indische buurt zuid,Amsterdam Zuidoost
Rechte H-buurt,53.3,55.9,38.4,rechte h buurt,Amsterdam Zuidoost
Reigersbos Midden,57.9,61.0,48.3,reigersbos midden,Amsterdam Zuidoost
Reigersbos Noord,52.1,54.9,38.9,reigersbos noord,Amsterdam Zuidoost
Reigersbos Zuid,62.3,64.7,56.1,reigersbos zuid,Amsterdam Zuidoost
Venserpolder Oost,59.3,62.0,40.9,venserpolder oost,Amsterdam Zuidoost
Venserpolder West,56.6,60.1,38.9,venserpolder west,Amsterdam Zuidoost
Vogeltjeswei,58.3,63.7,41.2,vogeltjeswei,Amsterdam Zuidoost
Zuidoostkwadrant Indische buurt,59.8,63.4,39.1,zuidoostkwadrant indische buurt,Amsterdam Zuidoost
Zuidwestkwadrant Indische buurt,56.4,61.5,34.6,zuidwestkwadrant indische buurt,Amsterdam Zuidoost
