review_id,rating,text,language,date,park
1,5.0,"De Pure Markt is elke tweede zondag van de maand in het Amstelpark. Het is er heerlijk vertoeven tussen het groen, winkelen, eten, drinken en voor de kinderen is er ook veel te beleven: schilderen, boetseren en een prachtig draaimolentje maken onderdeel uit van de pure markt.",nl,2025-07-13,Amstelpark
2,4.0,"Leuke park om op een mooie lentedag te bezoeken. Je kunt er leuk wandelen, zitten op bankjes, picknicken etc.
Er zijn geen fietsen toegestaan, dus dat is wel fijn dat je rustig kunt lopen zonder omver gereden te worden.

Ooit als klein kind hier geweest bij de pony’s en speelplaats maar dat is nu helemaal verbouwd. Het treintje is er nog wel.

En veel meer horeca bijgekomen in al die jaren.
Een ijskraam, pannenkoekenhuis, café etc.

Parkeren is wel een drama. Ik heb op 3 parkeerplekken moeten kijken voordat we een plekje hadden gevonden en het was super druk in het park. Overal vol en rijen, maar dat hoort er ook bij.

Verder was de toilet bij het treintje erg smerig.

Voor een wandeling en natuur zeker een aanrader.",nl,2025-04-20,Amstelpark
3,5.0,"Wat een pareltje, dit park!
Het Amstelpark verraste me met een levendige markt vol kleurrijke kramen, vintage kimono’s, boeken over bomen, live muziek én Portugese Natas. Alles onder een stralend blauwe lucht, omringd door hoge bomen en fijne mensen.

Ik was uitgenodigd door zoonlief voor Moederdag, en werd verrast met cadeautjes die zó bij mij passen: honing, serranoham, Kitchenfreaks granola, het prachtige boek van Tim Sorber en een kimono van Daniella — stuk voor stuk met liefde uitgezocht.

Een plek waar je mag vertragen, ontdekken en verbinden — precies dat waar Boardroom to Bodhi voor staat.
Een kleine ode aan het alledaagse buitengewone. Ik kom graag terug.",nl,2025-05-12,Amstelpark
4,5.0,"Heel fijn rustig park.
Loop graag een rondje van 30 minuten.
Stamt uit floriade.
Kan me nog herinneren deren dat ik daar geweest ben.
Later de zeeleeuwen en heel veel kippen.
Mooie plek .",nl,2025-06-12,Amstelpark
5,5.0,"Amstelpark – een verborgen parel in Amsterdam!

Wat een prachtig aangelegd park vol verrassingen! Of je nu jong of oud bent, de monorail is een absolute must – een feestje op zich! Kom je via de hoofdingang binnen, trakteer jezelf dan op een ijsje in de zomer en stap daarna in voor een ritje vol uitzicht.

Voor kids is er een fantastische speeltuin met grote klimrekken en glijbanen, en daarnaast vind je diverse betaalde attracties. Ook aan ontspanning is gedacht: een midgetgolfbaan, een doolhof, regelmatig leuke markten én maar liefst drie restaurants om bij te komen.

En alsof dat nog niet genoeg is: het park heeft ook een kinderboerderij met dieren waar je dichtbij kunt komen – altijd een succes bij de kleintjes!

Een 5-sterren uitje voor het hele gezin!

🌳🚂🍦🧒🎢⛳️迷🐐🐇🍽️",nl,2025-04-24,Amstelpark
6,5.0,"Lekker ruim, heerlijk op een zonnige dag. Geen verkeer uiteraard. Lekker in de natuur maar toch ook genoeg te doen. Parkeren was beetje lastig. Een van de Amstel park parkeerplaatsen was in renovatie.",nl,2025-04-12,Amstelpark
7,5.0,Zeer regelmatig wordt hier de Pure Markt (Food trucks en kramen) gehouden met veel verscheidenheid. Een ware aanrader om heen te gaan.,nl,2025-10-12,Amstelpark
8,5.0,Een heel mooi park wat rust uitstraalde en bizonder bomen heeften mijn collega's daar hebben gewerkt ccb toen werkvoorziening,nl,2025-05-18,Amstelpark
9,5.0,Een schitterend onderhouden park waar je fijn kunt wandelen,nl,2025-09-05,Amstelpark
10,4.0,Gezellig park voor wandelen in de natuur zeker ideale voor Kinderen met  het treintje gaan door het park,nl,2025-10-11,Amstelpark
11,5.0,"Prachtig park!! Heel leuk voor de kinderen!! Grote speeltuin, en in de vakanties zijn de attracties ook open. Leuk voor kinderen tot een jaar of 9. Het park is heerlijk om te wandelen , fietsen, skeeleren hardlopen, picknicken etc. Mijn kinderen willen altijd hun stepjes mee, en zo kunnen we bijna het gehele park door wandelen.

Japanse tuin is ook heel mooi!
Dit is 1 van onze fijnste parken waar we komen!",nl,2025-08-19,Amstelpark
12,4.0,"Mooi aangelegd park. Honden mogen aangelijnd naar binnen. Fietsen niet toegestaan.
Bij de hoofdingang en dan linksaf, brug over en dan met de trap naar boven kom je bij een leuke speelplaats voor kinderen.
Er is daar ook een plek met bootjes, race auto's enz. Betalen met muntjes die je kan kopen bij de snackbar of automaten. Openingstijden zie foto

Er zijn zelfs kangeroes en struisvogels ergens achterin in dit park. Ze zitten er s'winters wel triest bij ..beetje koud buiten en eenzaam achterin het park.

Voor de rest is er een trein die overdag bij mooi door het park gaat en restaurantjes.",nl,2023-05-28,Amstelpark
13,5.0,"Kindvriendelijk, diverse speeltoestellen, leuke wandelroutes. Bereikbaarheid ook goed.",nl,2025-07-14,Amstelpark
14,5.0,"Heerlijk park, heel groot! ontzettend goed onderhouden en elk stuk is anders. Opgezet voor floriade en dat is te merken. Er zijn dieren, grote speeltuin, attracties, café, ijsjes, toiletten, een treintje door het park, doolhof, bloementuin, allemaal verrassende plekken.",nl,2025-07-21,Amstelpark
15,5.0,Heerlijk ijs gegeten bij de Kiosk! Links Yuzu/matcha bovenop en eronder witte chocolade/pistache. Rechts caramel bovenop en vanille eronder. Dikke 10!,nl,2025-04-30,Amstelpark
16,4.0,"Hebben heerlijk gewandeld met de honden.  Mocht niet met de honden in de smalle paadjes maar was niet erg. Er waren genoeg andere verharde paden.
Vond het mooier dan de floriade in almere, waar we jackpot hadden betaald zonder honden.

Gisteren ook naar de speeltuin geweest en met het treintje.
Was erg leuk voor de kids.",nl,2022-07-24,Amstelpark
17,5.0,"We waren hier voor het Amsterdam wijnfestival.
Leuk event met mooie happen en natuurlijk veel wijn.
Wel erg jammer dat sommige wijnstadje (Georgie) niet echt wilde laten proeven, lastig als je de regio en de Druiven niet kent.
Overall super leuk en goed georganiseerd.
Tip overal proeven steeds een mooi glas wijn kiezen en dan een lekkere hap erbij uitzoeken, er was meer dan genoeg keuze",nl,2025-09-07,Amstelpark
18,5.0,"Verbaasd over deze oase van rust 👌 Heel gevarieerd park, leuk voor kinderen. Er rijdt zelfs een treintje rond, er zijn kinderactiviteiten, een doolhof en er is horeca.",nl,2023-10-23,Amstelpark
19,5.0,"Amstelpark is een prachtig en veelzijdig park in Amsterdam. Mooie wandelpaden, kleurrijke bloementuinen en rustige plekjes om te ontspannen. Ideaal voor een dagje uit met het gezin, want er is ook een kinderboerderij en een treintje. Goed onderhouden en altijd een fijne sfeer. Een echte aanrader!",nl,2025-07-25,Amstelpark
20,4.0,"Beste plek voor de kinderen, kwam hier zelf als kind en ik breng nu mijn eigen draakjes naar dit plekje, ik vind dit een geweldige park, zoveel leuke activiteiten en prachtig ingericht voor jong en oud.",nl,2025-08-13,Amstelpark
21,4.0,"Ik was er tijdens het wijnfestival, ik denk dat ik dit de fijnste locatie vind. Niet te groot maar wel groot genoeg voor lekkere wijn en goede etensopties en natuurlijk een mooie omgeving",nl,2025-10-01,Amstelpark
22,5.0,Mooi groot parker. Er is van alles aanwezig van minigolf tot restaurant. Er zijn ook veel plekken waar je heerlijk kan uitrusten. Ook zijn er zonnebrandpalen aanwezig waar je gratis zonnebrand kan gebruiken.,nl,2025-07-19,Amstelpark
23,5.0,"Een erg leuk park voor jong en oud! Je kunt midget golfen, er is een doolhof, een treintje door het park, een grote speeltuin met ook een gedeelte met speeltoestellen waar je muntjes voor dient te kopen en een kleine kinderboerderij. Je kunt op diverse plaatsen eten: pannenkoekenrestaurant bij de midgetgolf en een snackbar bij de speeltuin. In het weekend is het gratis parkeren!",nl,2022-04-06,Amstelpark
24,5.0,Super leuk park! Geweldig voor de Kids groot en klein voor ieder iets leuks .... betaald speelterrein en gratis speelplekken voor ieder wat leuks. Je kunt er wat eten en wat drinken .... kost wel wat. Maar als je zelf eten en drinken mee neemt heb je picknick plekjes waar je je spelende kindjes goed in gaten kunt houden. Voor ons op naar de volgende keer!,nl,2025-05-16,Amstelpark
25,5.0,"Prachtige plek met vele verschillende tuinen met verschillende thema's. Veel ook interactieve dingen te doen, grote speeltuin voor kinderen, veel dieren van stieren tot walibi's. Veel prachtige bloemen en een verscheidenheid aan flora.",nl,2021-04-30,Amstelpark
26,5.0,"Ik was hier bij Festival Trek en dat was super. Zo goed georganiseerd en heel veel leuke en lekkere ""trucks"" met heerlijk eten en een drankje. Er was een theater, een Zweefmolen, muziek enz. Het weer was prachtig. Kortom...voor herhaling vatbaar !",nl,2025-07-15,Amstelpark
27,4.0,"Erg makkelijk parkeren en een erg mooi schoon park. Entree is gratis. Je kan hier midgetgolfen of trouwen.  Er zitten restaurants en veel bankjes met mooie uitzichten. Het midget golfen is wel seizoensgebonden dus check eerst even of ze wel open zijn, voordat je met een koude kermis naar huis moet.",nl,2019-02-16,Amstelpark
28,5.0,Fantastisch leuk park voor jong en oud,nl,2025-05-08,Amstelpark
29,5.0,"Heel mooi midgetgolf park. Met 2 verschillende banen.
Wij habben voor de grasbaan gekozen, erg mooi aangelegd.
Zeker een aanrader",nl,2023-05-09,Amstelpark
30,5.0,"Heerlijk park om met kinderen te zijn. Leuke speeltuin, kinderboerderij en treintje.",nl,2025-04-03,Amstelpark
