review_id,rating,text,language,date,park
1,4.0,"Mooie, ruime en schone park. Bomen en planten uit diverse windstreken met naambordje. Waterpartijen en speelgelegenheden voor kinderen.",nl,2025-08-17,Beatrixpark
2,5.0,Leuk. Wel verbaasd door vele goed opgevoede en loslopende honden.,nl,2025-03-23,Beatrixpark
3,5.0,"Heerlijk park in Amsterdam. We komen regelmatig bij het pierenbadje met de speeltuin (wat in de zomer elke dag van schoon water + een zwemtoezichthouder wordt voorzien). Verder ook een heerlijk park om in te wandelen. Let op, er zijn hier wel veel honden die los lopen.",nl,2022-05-20,Beatrixpark
4,5.0,Prachtig park om heerlijk te wandelen. Er is een heemtuin met allerhande lokale plantensoorten. Naast natuur kun je hier ook architectuur bewonderen. Het is dus ook een heel geschikt park om mooie foto's te maken,nl,2019-08-21,Beatrixpark
5,5.0,Mooi park om je hond rustig uit te laten of voor een gewonen wandeling. Het is een prettiger park om te lopen met je hond dan bijvoorbeeld het Vondelpark!,nl,2024-03-06,Beatrixpark
6,5.0,"Een heerlijke rustige plek, verwijderd van de drukte van de stad. Een park vaak vergeten door de massa, hopelijk blijft het daarbij.",nl,2025-07-10,Beatrixpark
7,5.0,Heerlijk park met geweldig veel soorten bijzondere bomen en planten. Elke laatste zondag van de maand is er om 13 uur een bomenrondwandeling (winter) of rondleiding in de Artsenijhof met uitleg over medicinale planten (zomer); opgeven via de website van IVN Amsterdam (vrijwillige bijdrage na afloop) i.s.m. de Vrienden van het Beatrixpark. Deskundige gidsen Henk en Mien laten steeds iets anders zien!,nl,2025-05-21,Beatrixpark
8,5.0,"Heel wat stapjes liggen hier. Grote bomen geven veel verkoeling, en voor wie kijkt is hier altijd iets nieuws te zien. Schildpadden al ontdekt?",nl,2022-08-02,Beatrixpark
9,5.0,"Vandaag een wandeling gemaakt door het Beatrixpark en wat een fijne verrassing. Het is er rustig, groen en goed onderhouden, met genoeg plek om te zitten, wandelen of gewoon even te genieten van de natuur.

Wat het extra bijzonder maakt: je zou het niet zeggen, maar de P+R parkeergarage bij RAI zit er pal naast. Superhandig als je van buiten de stad komt — je stapt zo het park in zonder de drukte van de stad.

Ook de buurt rondom het park is mooi en rustig, met een prima uitstraling. Een echte verborgen parel in Amsterdam, perfect om tot rust te komen.",nl,2025-04-30,Beatrixpark
10,5.0,"Heel fijn park om te wandelen, erg rustig. Vooral de grote perken en vijver met zijn vaste planten verdienen mijn voorkeur in voorjaar, zomer en herfst.",nl,2019-03-05,Beatrixpark
11,5.0,In elk jaargetijden en iedere dag weer iets leuks te zien. Als je maar wil kijken.,nl,2017-09-23,Beatrixpark
12,4.0,Heel leuk oud rusgevende park in Amsterdam zuid en voor kleine kindtjes één Pierebadje en speeltuin als vermaak,nl,2023-12-06,Beatrixpark
13,5.0,Prachtig stukje natuur tussen oud-zuid en de ring. Ik vind het mooier en rustiger dan het Vondelpark.,nl,2020-01-04,Beatrixpark
14,4.0,"Lekker rustig een rondje door het park of in de zon genieten van de fonteinen en hondenuitlaters.
In de zomer, bij de fontein, is het natuurlijk lekker rustig genieten van een wijntje.
Geen stress en het geluid van de fontein op de achtergrond is gewoon perfect.",nl,2022-03-15,Beatrixpark
15,5.0,"Beatrixpark is (wellicht gelukkig maar voor de kenner) een relatief onbekend park, maar erg mooi en stadsdeel Zuid-waardig. Mooie natuur en watertjes, voldoende zitplaatsen en leuke paadjes.",nl,2024-07-11,Beatrixpark
16,4.0,Kleine groene oase in de Rivierenbuurt aan de rand van de snelweg. Veel mensen uit de buurt laten hun hond hier lekker rennen. Leuk kinderbadje in de zomer.,nl,2021-02-20,Beatrixpark
17,5.0,"Mooi park, voor elk wat wils. De hondenuitlaatplek is echt leuk, met een koffie karretje waar heerlijke espresso en zelfgebakken koekjes worden verkocht. Genoeg bankjes om lekker in het zonnetje te zitten ☀️.",nl,2020-12-02,Beatrixpark
18,5.0,"Prachtig park, fijn om in te wandelen en rustig. Leuk veld waar honden met elkaar spelen.",nl,2021-04-30,Beatrixpark
19,5.0,"Mooiste park van Amsterdam,  schoon en netjes en zalig om met mijn 2 berners doorheen te wandelen",nl,2019-03-03,Beatrixpark
20,5.0,"Prachtig park, mooi onderhouden, een diversiteit aan bomen en planten. Heerlijk park om een rondje te wandelen. Op het honden veld is een waterpunt wat echter een lekke leiding heeft. Water stroomt het veld op.",nl,2025-02-12,Beatrixpark
21,4.0,Leuke tent .. met redelijke prijzen en leuk en vlote medewerkers!! zie je niet zovaak meer in 020 ! lol,nl,2025-08-11,Beatrixpark
22,5.0,"Een van de vele mooie parken in Amsterdam. Waterpartijen, kunstobjecten, mogelijkheid tot sporten, kinderbad met speeltuin. Heel aangenaam",nl,2021-01-31,Beatrixpark
23,5.0,"Ons favoriete poedelbadje voor de kinderen, lekker elitair, snufje zuid, favoriete speeltuin en in het park mag je hond los.",nl,2022-09-04,Beatrixpark
24,4.0,Prachtig park op loopafstand van de bewoonde wereld. Netjes onderhouden. Afwisselend met grote velden en kleine plekjes aan het water. Honden mogen hier los lopen en kunnen zwemmen in de verschillende vijvers. Prima sfeer!,nl,2024-08-26,Beatrixpark
25,4.0,Fijn park om met de hond te lopen.,nl,2025-09-08,Beatrixpark
26,5.0,Geweldig mooi park waar kleine hondjes ook los lopen. Heerlijk om te wandelen,nl,2021-11-27,Beatrixpark
27,4.0,Met zonnetje erbij leeft het park weer op.,nl,2018-10-17,Beatrixpark
28,4.0,Mooi aangeplant park met paviljoens in Amsterdam-zuid,nl,2025-10-24,Beatrixpark
29,4.0,Leuk park om even door te wandelen. Veel bedrijvigheid van mensen/kinderen die er lekker spelen en vertoeven.,nl,2025-03-07,Beatrixpark
30,5.0,"Mooi maar niet te groot stadspark met apart hondenuitloopveld, peuterbad  met kiosk en heemtuin",nl,2023-09-24,Beatrixpark
31,4.0,Heerlijk Park. Was met mijn puppy daar op de hondeweide. Ze ontmoet vele andere honden.,nl,2019-09-24,Beatrixpark
32,5.0,Mooi aangelegd park met bijzondere bomen en heesters.. overblijfsel van de Floriade.. prachtig aangelegde en onderhouden Artsenijtuin..,nl,2017-05-16,Beatrixpark
33,4.0,Heerlijk park. Fijne omgeving.,nl,2022-11-12,Beatrixpark
34,4.0,De Artsenijhof is een verborgen parel en zeker een bezoek waard voor wie interesse heeft in medicinale planten.,nl,2023-06-18,Beatrixpark
35,5.0,"Eerste park dat ik bezocht in Amsterdam, vanwege de grootte en grandeur is het moeilijk om de mooie dingen die ik zag te beschrijven. Het hele park is een uitnodiging voor een romantische wandeling, met familie, vrienden of zelfs alleen... Zeer ruim in zijn afmetingen die toegankelijkheid geven aan iedereen die er vaak komt. Ik kon zien dat er natuur werd gevormd rond het water, dat begint in een meer waar in het midden een klein eiland is, een hoek van de vogels. Naast de verschillende soorten bomen en planten die zich aan de drie zijden door kanalen in al zijn dimensies uitstrekken.

Ik ben benieuwd om het op het hoogtepunt van de lente te observeren, vooral in de rozentuin en ook in de kruidentuin. Door de ingangen prachtige monumenten van leeuwen, die het gevoel geven dat daar de bewoners van deze plek veilig en beschermd zijn. Naast het vertegenwoordigen van alle kracht en moed gevonden door degenen die hetzelfde idealiseerden om de moeilijkste obstakels en moeilijkheden te overwinnen.",nl,2023-04-16,Beatrixpark
36,5.0,"Fijne plek om met Teddy, de hond, heen te gaan in het weekend. Het is een mooi park en er is ruimte en een groot veld waar hij zich volledig vermaakt. Mooie plekjes om te zitten en er zijn veel vogels te zien. Vergeet daarom vooral de nootjes of zaadjes niet!",nl,2023-04-17,Beatrixpark
37,4.0,"Prachtig park, de bomen staan vol in de bloesem en ik werd getrakteerd op een waar fluitconcert van de vogels.",nl,2019-04-17,Beatrixpark
38,5.0,Mooi park waar nog echt RUST heerst in tegenstelling tot de meeste andere stadsparken in Amsterdam,nl,2022-11-18,Beatrixpark
39,5.0,Prachtig zo midden in de drukte waar je helemaal niets van merkt. Heerlijk park.,nl,2021-09-24,Beatrixpark
40,5.0,Ik kwam hier al als kind van plm. 7 jaar oud en kom er nu graag met mijn kleinzoon,nl,2021-06-16,Beatrixpark
41,5.0,"Prachtig aangelegd park. Op een steenworp afstand van het Vondelpark maar aanzienlijk minder druk. Ook is het erg leuk dat er een veld is waar iedereen zijn hond loslaat. Het is wel een park met erg veel doorgangetjes en bosjes, wat niet al te handig is als je eigenwijze teckels hebt. Dat is iets om rekening mee te houden, maar verder is het een heerlijk park.",nl,2020-03-27,Beatrixpark
42,4.0,"Rustig park, velden, heemtuinen, peuterbad en zoveel meer.",nl,2019-01-10,Beatrixpark
43,5.0,Geweldige plek om kleine hondjes los te laten lopen.,nl,2021-07-11,Beatrixpark
44,5.0,"Ontzettend leuk park in Amsterdam, nabij de Rai. De kinderen vermaken zich prima in het bad en de speeltuin.
Een heerlijke weide om te picknicken, met veel schaduwrijke plekken.
Een hele fijne plek om te vertoeven met kinderen!",nl,2021-06-27,Beatrixpark
45,3.0,"Groteweide voor zelf te verzinnen aktiviteiten, mogelijkheid om te barbeqeuen, feestje te geven of in alle rust te genieten van rozentuin, veldjes aan het water, romantische wandelpaden, honden mogen op veel plaatsen los. Tevens peuterbad. Niet een heel groot park.",nl,2017-08-26,Beatrixpark
46,5.0,"Een heerlijk park dat ligt tussen de RAI en de Zuidas. Twee plaatsen die een kookpot van stress en bedrijvigheid zijn. Dan dat heerlijke park waar mensen uit de buurt de hond uitlaten. En samen komen, soms met koffie, als de koffiebar er staat.
De rest van het park is heerlijk rustig en uitgekiend ingericht. Met speciale vegetatie.
Geen BBQ toegestaan.",nl,2019-08-16,Beatrixpark
47,4.0,"Leuk pierenbadje. Wel zelf speelgoed meenemen. In de ochtend nog lekker rustig. Maar op mooie dagen is het om 10.30 al druk! Als de grotere kinderen komen, is de lol er voor de hele kleintjes snel af. Dus met de ukkies, vroeg gaan, dan is het top!",nl,2021-06-13,Beatrixpark
48,5.0,"Heerlijk park voor de hond (en zonder). Netjes aangelegd, voorzieningen aanwezig, goed bereikbaar.",nl,2024-03-12,Beatrixpark
49,4.0,Mooi park lekker rustig,nl,2022-10-10,Beatrixpark
50,5.0,Mooi groen park midden in Amsterdam waar je veel soorten mooie routes kan lopen over de verschillende paadjes. Er staan heel veel verschillende bomen die allemaal een naambordje dragen. Ook is in de zomer het kinderbadje geopend en staan er door het park heen verschillende kunstwerken. Heerlijk park om tussen de middag een lunch-rondje te wandelen!,nl,2019-04-24,Beatrixpark
51,5.0,"Mooi en schoon park, ideaal om een rondje te lopen met of zonder hond. Is altijd een relatief rustig park. Vroeger ook vele uren doorgebracht spelen in de speeltuin en in het badje.",nl,2018-04-22,Beatrixpark
52,5.0,Mooi opgezet park en rustig voor Amsterdamse begrippen.,nl,2021-04-18,Beatrixpark
53,3.0,"Heel erg leuk park in de zomer met het pierenbadje. Parkeren is echter niet te doen. Max 1 uur en ontzettend duur! Hoe kan je zoiets bezoeken als je van verder weg komt? Heb ontzettend mn best gedaan om op tijd terug bij de auto te zijn en alsnog een boete ontvangen. Park is dus duidelijk alleen bedoeld voor mensen die in Amsterdam wonen en dan is het een prima plek om een middag met kids te besteden.
Bij kouder weer is het speeltuintje wel wat aan de kleine kant om ook mijn zoontje van 6 te behagen. Dochter van 2 zou het ook dan prima naar haar zin hebben hier.

Verder mooi aangelegd.. prima toeven..",nl,2018-08-05,Beatrixpark
54,5.0,Heerlijke plek voor Tai Chi beoefening in de open lucht,nl,2019-07-26,Beatrixpark
55,5.0,Klein park dat je in enkele minuten rondloopt. Er is een groot veld waar heel veel honden komen om met elkaar te spelen. De baasjes socializen er of drinken er koffie. Er is vaak een mobiele koffiecorner.,nl,2021-10-22,Beatrixpark
56,5.0,"Prachtig park in Amsterdam Zuid met veel afwisseling qua bomen, bloemen, gras en water. Ook zijn er hoogteverschillen die echt wat toevoegen. Er is een goed restaurant (As) aanwezig, een leuk speeltuintje met horeca, brede wandel- en fietspaden. En de overgang naar de Zuidas-kantoren aan de westkant is goed vormgegeven.",nl,2017-09-12,Beatrixpark
57,5.0,"Heerlijk stadspark, met verschillende veldjes om te sporten of te zonnen. Er is een leuk tentje, naast het pierenbadje die ijsjes, broodjes etc verkoopt. Niet duur en allemaal bijzondere en lekkere dingen!",nl,2021-08-16,Beatrixpark
58,3.0,"zaten te pickniken, niet aan te raden, veel arogante mensen die hun hond gewoon het eten van je bord laten eten tot je hun hond wegtrekt en ze hun schouders ophalen uit desinteresse, dit is 3 keer gebeurt in 2 uur tijd, park zelf is erg mooi wel uitkijken voor ganzenpoep op veel plekken in het gras",nl,2020-07-23,Beatrixpark
59,4.0,"Mooi,rustig park",nl,2020-08-08,Beatrixpark
60,5.0,Net park. Niet te druk en prima publiek.  Wel af en toe wat honden en veel fietsers.  Strandlaken is handig voor t zonnen. Café Strandzuid is een leuke plek om wat te drinken en te happen.,nl,2019-07-26,Beatrixpark
61,5.0,"Een vergeten park, maar super chill en lekker rustig, zodat je er niet uit wordt gekickt zoals bij vondel. Heeft alles wat je hartje begeert: gras, bomen, zitplekken, honden, zelfs een zwembadje voor de kids",nl,2021-05-30,Beatrixpark
62,5.0,"Prachtig park, een aantal jaar geleden helemaal op de schop gegaan en sindsdien een pareltje.
Er is een hondenspeelveld, fietspaden met logische/snelle verbinding (noord-zuid en oost-west), wandelpaden in park- en bosachtige delen.",nl,2019-10-10,Beatrixpark
