review_id,rating,text,language,date,park
1,5.0,Kwam hier voor het 2 daagse festival Reaggea lake.  Genoten van de muziek maar ook van het Gaasperpark. Heerlijk aan het water gezeten. Zeer goede sfeer in een hele fijne omgeving. Genoeg groen en water. Je loopt elkaar niet in de weg een heel mooi park aan de rand van Amsterdam.,nl,2025-08-28,Gaasperpark
2,5.0,"Momenteel afgesloten door werkzaamheden, en dat gaat lang duren tot 2027. Als het open is het een mooi park met bijzondere oude bomen en planten. En natuurlijk het meer wat ook bijzondere vogels trekt en als het open is kan zwemmen en relaxen.",nl,2025-10-11,Gaasperpark
3,4.0,"Mooie camping vlakbij Amsterdam, fijne sanitair gebouwen met heerlijke douches.
Snel in hartje Amsterdam.",nl,2025-06-26,Gaasperpark
4,5.0,"Heel groot park met een meer. U kunt helemaal rond het meer wandelen. Zomers heerlijk ontspannen, picknicken. Zwemmen mag ook op de aangegeven stranden en er is zelfs een hondenstrand.",nl,2025-02-02,Gaasperpark
5,5.0,Het park is gelegen rond de Gaasplas. Ik was bij het Planetarium voor een vergadering. Er zijn daar verschillende vergaderfaciteiten. Er is betaald parkeren. Op korte afstand bevindt zich een metrostation met directe verbinding naar het centrum van Amsterdam,nl,2025-10-30,Gaasperpark
6,4.0,Ideale overnachtingsplek met camper voor een weekend Amsterdam. Betaalbaar en goede aansluiting met ov richting centrum. Wel typische camperplaatsen... Rijtje en hutje mutje... Maar superschoon en modern sanitair. Handig winkeltje voor broodjes enzo,nl,2025-04-05,Gaasperpark
7,5.0,Reggae Lake festival 2025 was op een buitje na geweldig om erbij te zijn,nl,2025-08-19,Gaasperpark
8,5.0,"Leuke plas om gezellig te picknicken, te relaxen, te barbecuen en uiteraard ook om te zwemmen.
Ik heb in mn snelligheid geen toiletten of andere faciliteiten gezien.",nl,2025-08-14,Gaasperpark
9,5.0,"Gecorrigeerde tekst: Reggae Lake in Amsterdamse park.
Ik heb een geweldige tijd gehad op Reggae Lake.
Het was gezellig, ontspannen en er werd flink gefeest.
Het park was mooi versierd.
Het nadeel: het was behoorlijk ver lopen naar de auto.
Het parkeertarief van 20 euro is wel een beetje hoog. En je moet te voet terug. Er waren wel golfkarretjes, maar dat was het dan. De paden waren slecht verlicht en er waren weinig aanwijzingen.
De camping leek gezellig, maar met een rit van 20 minuten naar huis was dat niet nodig.
Het is zeker een aanrader voor het hele gezin. Oké, hier en daar wordt er wat wiet gerookt, maar dat hoort bij de levensstijl van de rastafari.",nl,2023-08-21,Gaasperpark
10,4.0,"Mooi park aan het water. Er is een waterspeelplaats, kampeerterrein en er zijn barbecue plaatsen. Reggae Lake was gezellig.",nl,2024-08-22,Gaasperpark
