review_id,rating,text,language,date,park
1,5.0,A very serene park with lots of goose around!,en,2025-06-14,Nelson Mandela Park
2,5.0,"A nice park for having some fun with fresh air. Theee is a nice place for bbq. Also plenty of fields for football, basketball and cricket practice as well.",en,2024-05-06,Nelson Mandela Park
3,1.0,The beauty of the Netherlands on display. Perfect if you hate nature. Cherry on top is that you can hear the highways surrounding the park at any point during your visit!,en,2025-01-15,Nelson Mandela Park
4,4.0,"A lovely huge park, which is connected to Arena Poort. Kids playground, sports courts (you can get free drinking water from there, with your own bottle to refill).
Good to spend time with family and friends. you can do BBQ, only the hell you gonna face is if you go with your car, they only have paid parking but they have plenty of spaces.",en,2025-07-19,Nelson Mandela Park
5,5.0,"The most amazing park nearby! Calm and fresh. Definitely, a great place to wind up your spirit, embrace those quiet moments, as well as, catch a glimpse of those young, busy soccer players, or have your mind lost in a thought, on one of those sweet, little bridges out there. Green, juicy, watery park, gives you energy and peace, every time you visit it. Love it! <3",en,2018-01-30,Nelson Mandela Park
6,5.0,Love this place during the Kwaku Summer Festival,en,2025-07-13,Nelson Mandela Park
7,5.0,"The ""Bronze Faces"" monument is a magnificent ensemble of four larger-than-life bronze sculptures of human faces, each representing a different racial or ethnic group, located in South east of Amsterdam 🇳🇱. The faces are intricately crafted, with meticulous attention to detail, capturing the diverse facial features and expressions of individuals from different backgrounds. One of the aspects that struck me the most about the ""Bronze Faces"" monument is its powerful symbolism of inclusive, diversity, and equality. The artwork conveys a profound message of unity and acceptance, celebrating the beauty and richness of human diversity. It serves as a powerful reminder of the importance of embracing our differences and coming together as a harmonious and inclusive society.",en,2022-08-20,Nelson Mandela Park
8,4.0,"Nice place to walk, play, jog and more, alone with family or friends, even space for bbq",en,2021-01-12,Nelson Mandela Park
9,5.0,Spacious park with enough facilities to accommodate both children and adults. This park is located in Amsterdam South East which is not too far from the Bijlmer Arena station.,en,2018-06-22,Nelson Mandela Park
10,5.0,"This park is in a very nice setting, lots of greenery  and located in Amsterdam South-East. How to get there with public transport: if you are departing from ""Amsterdam Bijlmer Arena"" station"" Take the bus 47 or bus 66 and alight in "" Anton de Komplein"" walk towards the park will take 5 minutes.                                 The park has a lot of facilities:  There is 1 very big Barbecue grill stove in the park free of charge.    There is freeWifi, basketballcourt, skateboard area, Football field,Track and field, kidspark with water tap. You can jog or skate in the park. This is the ultimate all in one park",en,2018-06-26,Nelson Mandela Park
