area_name,municipality_name,region_type,Health_GP_Distance_km,Health_GP_Count_Within_1km,Health_GP_Count_Within_3km,Health_GP_Count_Within_5km,Health_GP_after_hours_Distance_km,Health_Pharmacy_Distance_km,Health_Hospital_incl_Distance_km,Health_Hospital_incl_Count_Within_5km,Health_Hospital_incl_Count_Within_10km,Health_Hospital_incl_Count_Within_20km,Health_Hospital_excl_Distance_km,Health_Hospital_excl_Count_Within_5km,Health_Hospital_excl_Count_Within_10km,Health_Hospital_excl_Count_Within_20km,Retail_Daily_grocery_Distance_to_large_supermarket_km,Retail_Daily_grocery_Count_large_supermarketen_Within_1_km_count,Retail_Daily_grocery_Count_large_supermarketen_Within_3_km_count,Retail_Daily_grocery_Count_large_supermarketen_Within_5_km_count,Retail_Daily_grocery_Distance_to_other_daily_goods_km,Retail_Daily_grocery_Count_overige_dagelijkse_levensmiddelen_Within_1_km_count,Retail_Daily_grocery_Count_overige_dagelijkse_levensmiddelen_Within_3_km_count,Retail_Daily_grocery_Count_overige_dagelijkse_levensmiddelen_Within_5_km_count,Hospitality_Cafes_Distance_to_café_e.d._km,Hospitality_Cafes_Count_cafés_e.d._Within_1_km_count,Hospitality_Cafes_Count_cafés_e.d._Within_3_km_count,Hospitality_Cafes_Count_cafés_e.d._Within_5_km_count,Hospitality_Cafeterias_Distance_to_cafetaria_e.d._km,Hospitality_Cafeterias_Count_cafetaria's_e.d._Within_1_km_count,Hospitality_Cafeterias_Count_cafetaria's_e.d._Within_3_km_count,Hospitality_Cafeterias_Count_cafetaria's_e.d._Within_5_km_count,Hospitality_Restaurants_Distance_to_restaurant_km,Hospitality_Restaurants_Count_restaurants_Within_1_km_count,Hospitality_Restaurants_Count_restaurants_Within_3_km_count,Hospitality_Restaurants_Count_restaurants_Within_5_km_count,Traffic_transport_Distance_to_highway_ramp_km,Traffic_transport_Train_stations_Distance_to_treinstations_totaal_km,Traffic_transport_Train_stations_Distance_to_belangrijk_overstapstation_km,Leisure_culture_Distance_to_bibliotheek_km,Leisure_culture_Sport_Distance_to_indoor_pool_km,Leisure_culture_Sport_Distance_to_ice_rink_km,Leisure_culture_Museum_Distance_to_museum_km,Leisure_culture_Museum_Count_musea_Within_5_km_count,Leisure_culture_Museum_Count_musea_Within_10_km_count,Leisure_culture_Museum_Count_musea_Within_20_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Distance_to_podiumkunsten_totaal_km,Leisure_culture_Performing_arts_(excl._festivals)_Count_podiumkunsten_totaal_Within_5_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Count_podiumkunsten_totaal_Within_10_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Count_podiumkunsten_totaal_Within_20_km_count,Leisure_culture_Performing_arts_(excl._festivals)_Distance_to_music_venue_km,Leisure_culture_Cinema_Distance_to_bioscoop_km,Leisure_culture_Cinema_Count_bioscopen_Within_5_km_count,Leisure_culture_Cinema_Count_bioscopen_Within_10_km_count,Leisure_culture_Cinema_Count_bioscopen_Within_20_km_count,Leisure_culture_Recreation_Distance_to_sauna_km,Leisure_culture_Recreation_Distance_to_tanning_bed_km,Leisure_culture_Recreation_Distance_to_attraction_km,Leisure_culture_Recreation_Count_attractions_Within_10_km_count,Leisure_culture_Recreation_Count_attractions_Within_20_km_count,Leisure_culture_Recreation_Count_attractions_Within_50_km_count,district_x,Name_clean_x,match,GEBIED_NAAM,18_en_ouder,18_tot_65,65_en_ouder,area_name_normalized,district_y,Name_clean_y
Amsterdam,Amsterdam                               ,Gemeente  ,0.6,3.0,28.0,66.8,3.3,0.7,2.6,2.0,5.4,12.9,3.1,1.5,4.3,9.5,0.6,3.8,34.6,84.0,0.5,19.5,192.4,472.5,0.8,9.8,119.0,301.8,0.4,14.6,162.4,409.8,0.4,34.4,389.6,964.2,2.2,2.9,3.9,1.4,2.3,7.4,2.5,19.9,42.2,63.0,1.7,18.2,42.4,61.5,3.5,2.8,5.7,12.5,19.1,2.5,2.0,3.2,5.2,13.8,60.5,Other,amsterdam,gemeente amsterdam,Gemeente: Amsterdam,66.8,69.6,52.2,gemeente: amsterdam,Other,gemeente amsterdam
Haarlemmerbuurt,Amsterdam                               ,Wijk      ,0.5,3.5,30.3,89.0,4.6,0.9,2.0,2.4,6.0,14.1,4.6,1.4,5.0,10.1,0.4,3.9,40.1,114.2,0.3,34.9,356.8,748.9,0.3,22.6,345.3,584.0,0.3,22.3,364.0,697.2,0.1,59.1,839.5,1661.0,3.4,1.7,1.7,1.3,1.4,6.9,1.3,39.8,47.0,65.9,0.7,32.3,46.9,65.5,2.6,0.9,10.9,15.3,20.7,1.5,0.8,3.6,6.1,13.9,61.8,Other,haarlemmerbuurt,haarlemmerbuurt oost,Haarlemmerbuurt Oost,71.5,74.5,59.7,haarlemmerbuurt oost,Other,haarlemmerbuurt oost
Planciusbuurt-Noord,Amsterdam                               ,Buurt     ,0.8,3.8,28.0,77.8,4.5,0.6,2.4,2.0,6.0,14.7,4.5,1.0,5.0,10.7,0.3,5.7,39.4,101.5,0.4,36.0,320.8,699.6,0.4,19.9,297.0,567.4,0.3,15.4,328.5,661.2,0.1,53.7,743.1,1586.0,2.9,2.2,2.2,0.9,1.1,7.3,1.4,38.8,47.0,65.0,0.4,30.0,47.0,65.0,2.7,0.5,12.0,16.0,20.0,1.9,0.4,4.0,5.2,15.0,61.0,Other,planciusbuurtnoord,planciusbuurt noord,Planciusbuurt Noord,67.9,69.3,57.5,planciusbuurt noord,Other,planciusbuurt noord
Westelijke eilanden,Amsterdam                               ,Buurt     ,0.9,1.5,26.9,75.6,4.8,0.9,2.4,1.9,6.0,14.1,4.8,0.9,5.0,10.1,0.6,3.0,33.8,100.7,0.5,19.3,294.6,683.2,0.5,9.3,268.6,558.8,0.5,12.4,292.7,655.0,0.2,28.7,660.7,1549.0,3.2,2.1,2.1,1.1,1.4,7.3,1.6,38.5,47.0,65.3,0.6,29.4,46.8,64.2,2.9,0.8,10.6,15.6,19.4,1.9,0.7,4.0,5.2,14.9,61.0,Other,westelijke eilanden,westelijke eilanden,Westelijke eilanden,70.3,72.9,61.8,westelijke eilanden,Other,westelijke eilanden
Westerdokseiland,Amsterdam                               ,Buurt     ,0.2,2.0,28.6,93.0,4.5,1.4,2.0,2.1,6.0,14.0,4.5,1.1,5.0,10.0,0.7,1.8,36.3,120.1,0.6,16.0,343.2,762.2,0.4,14.0,341.8,589.7,0.2,14.8,354.4,707.6,0.1,32.4,797.9,1674.0,3.8,1.3,1.3,1.7,1.8,6.5,1.4,40.0,47.0,66.0,0.9,33.0,47.2,65.0,2.8,1.4,10.7,15.3,21.0,1.5,1.3,3.2,6.5,11.0,62.0,Other,westerdokseiland,westerdokseiland,Westerdokseiland,71.2,74.3,62.6,westerdokseiland,Other,westerdokseiland
Planciusbuurt-Zuid,Amsterdam                               ,Buurt     ,0.6,5.4,32.7,84.7,4.3,0.5,2.2,2.0,6.0,14.9,4.3,1.0,5.0,10.9,0.2,8.1,43.0,110.8,0.2,54.5,368.3,736.5,0.4,31.2,326.9,580.2,0.1,25.6,363.0,686.8,0.2,96.7,846.2,1647.0,2.7,2.1,2.1,0.6,0.9,7.3,1.1,39.9,47.0,66.0,0.4,32.0,47.8,65.5,2.5,0.4,12.0,16.0,20.0,1.7,0.4,3.7,5.9,15.8,61.8,Other,planciusbuurtzuid,planciusbuurt zuid,Planciusbuurt Zuid,59.0,61.9,47.5,planciusbuurt zuid,Other,planciusbuurt zuid
Haarlemmerbuurt-West,Amsterdam                               ,Buurt     ,0.4,4.3,30.8,94.6,4.6,0.5,1.8,2.8,6.0,14.1,4.6,1.8,5.0,10.1,0.2,5.7,43.5,117.5,0.2,53.7,394.4,776.9,0.2,31.1,390.9,597.0,0.2,27.2,409.7,716.8,0.1,83.9,953.3,1707.0,3.3,1.7,1.7,1.2,1.2,6.8,1.0,40.6,47.0,66.2,0.6,33.9,46.6,66.5,2.4,0.6,11.1,15.1,21.3,1.3,0.6,3.6,6.6,15.0,61.8,Other,haarlemmerbuurtwest,haarlemmerbuurt west,Haarlemmerbuurt West,68.1,70.8,56.7,haarlemmerbuurt west,Other,haarlemmerbuurt west
Haarlemmerbuurt-Oost,Amsterdam                               ,Buurt     ,0.3,7.6,38.2,103.7,4.4,1.0,1.4,3.0,6.0,14.0,4.4,2.0,5.0,10.0,0.3,4.3,51.3,130.6,0.1,55.2,439.0,825.4,0.2,44.4,435.8,608.5,0.2,43.5,446.8,743.0,0.1,107.1,1071.0,1801.0,3.6,1.4,1.4,1.5,1.3,6.5,0.8,41.0,47.0,66.7,0.6,35.1,47.2,67.0,2.1,1.0,11.0,15.0,21.9,0.9,0.9,3.3,6.8,13.4,63.0,Other,haarlemmerbuurtoost,haarlemmerbuurt oost,Haarlemmerbuurt Oost,71.5,74.5,59.7,haarlemmerbuurt oost,Other,haarlemmerbuurt oost
Marnixbuurt-Noord,Amsterdam                               ,Buurt     ,0.5,6.5,39.5,92.4,3.8,0.6,2.0,2.2,6.0,14.2,3.8,1.2,5.0,10.2,0.5,8.2,50.1,119.4,0.2,65.4,430.8,785.8,0.3,39.2,378.5,592.0,0.3,29.5,414.9,722.8,0.1,112.6,988.4,1742.0,3.0,2.2,2.2,0.8,0.4,7.3,0.9,39.9,47.3,66.0,0.7,34.4,49.4,65.0,2.0,0.8,12.0,15.5,20.0,1.6,0.7,3.2,6.0,16.0,62.0,Other,marnixbuurtnoord,marnixbuurt noord,Marnixbuurt Noord,65.2,69.2,48.9,marnixbuurt noord,Other,marnixbuurt noord
Driehoekbuurt,Amsterdam                               ,Buurt     ,0.3,4.9,33.3,92.4,4.2,0.4,1.8,2.3,6.0,14.0,4.2,1.3,5.0,10.0,0.4,6.0,46.3,118.5,0.2,64.8,413.3,783.7,0.2,37.8,397.1,594.7,0.3,29.2,420.1,721.7,0.1,108.6,987.5,1723.0,3.5,1.9,1.9,1.3,0.8,7.0,0.7,41.3,47.0,66.7,0.8,34.3,47.1,66.3,2.2,1.0,11.1,15.0,21.0,1.3,0.9,3.6,6.1,14.0,61.8,Other,driehoekbuurt,driehoekbuurt,Driehoekbuurt,69.1,71.8,57.2,driehoekbuurt,Other,driehoekbuurt
Anjeliersbuurt-Noord,Amsterdam                               ,Buurt     ,0.4,5.1,38.5,94.6,4.0,0.3,1.7,2.7,6.0,13.8,4.0,1.7,5.0,10.0,0.3,4.9,49.7,120.5,0.1,60.2,445.9,797.4,0.1,38.6,416.1,594.4,0.2,27.4,441.9,728.8,0.1,106.4,1043.0,1753.0,3.4,2.0,2.0,1.1,0.5,7.2,0.4,41.1,46.8,66.5,0.9,34.5,47.4,65.6,2.0,1.3,11.5,15.0,20.5,1.4,0.9,3.4,6.1,14.8,61.8,Other,anjeliersbuurtnoord,anjeliersbuurt noord,Anjeliersbuurt Noord,71.2,74.0,60.5,anjeliersbuurt noord,Other,anjeliersbuurt noord
Zaagpoortbuurt,Amsterdam                               ,Buurt     ,0.4,8.6,53.4,104.7,3.3,0.4,1.6,3.0,6.0,13.4,3.3,2.0,5.0,9.4,0.6,7.8,66.2,138.7,0.3,70.1,543.5,847.4,0.2,55.3,463.7,608.2,0.4,39.0,518.1,764.7,0.1,136.1,1217.0,1851.0,2.7,2.6,2.6,0.8,0.2,7.3,0.7,41.8,48.0,66.8,0.7,36.0,50.3,65.0,1.4,1.2,12.0,15.0,20.0,1.3,1.0,2.7,6.1,16.0,63.0,Other,zaagpoortbuurt,zaagpoortbuurt,Zaagpoortbuurt,66.1,67.3,54.9,zaagpoortbuurt,Other,zaagpoortbuurt
Anjeliersbuurt-Zuid,Amsterdam                               ,Buurt     ,0.5,5.7,43.0,97.4,3.9,0.4,1.5,3.0,6.0,13.4,3.9,2.0,5.0,9.9,0.4,4.2,53.9,127.0,0.2,53.4,481.9,817.9,0.2,39.1,449.3,597.1,0.2,31.9,476.1,737.6,0.1,102.8,1125.0,1791.0,3.3,2.3,2.3,1.1,0.5,7.3,0.5,41.7,46.5,66.2,0.9,35.4,47.9,65.2,1.8,1.4,11.9,14.7,20.2,1.3,0.6,3.3,6.0,14.9,61.7,Other,anjeliersbuurtzuid,anjeliersbuurt zuid,Anjeliersbuurt Zuid,68.1,71.2,57.6,anjeliersbuurt zuid,Other,anjeliersbuurt zuid
Marnixbuurt-Midden,Amsterdam                               ,Buurt     ,0.2,8.9,60.3,115.2,3.0,0.2,1.4,3.0,6.0,13.0,3.0,2.0,5.0,10.0,0.5,11.1,79.9,145.6,0.2,81.1,608.7,890.6,0.0,57.8,509.5,621.6,0.1,56.7,577.9,795.5,0.1,153.4,1377.0,1922.0,2.5,2.8,2.8,1.1,0.6,7.0,0.6,42.0,48.0,67.0,0.4,36.6,50.6,65.0,1.1,1.1,12.0,14.0,20.0,0.9,1.0,2.5,8.0,16.6,63.6,Other,marnixbuurtmidden,marnixbuurt midden,Marnixbuurt Midden,77.1,78.7,59.4,marnixbuurt midden,Other,marnixbuurt midden
